#Lon	Lat	Depth size	Mag.
45.705	34.508	11	0.43    4.3
46.287	34.614	8.1	0.38    3.8
46.104	34.648	8.1	0.28    2.8
46.226	34.638	8.5	0.34    3.4
46.077	34.615	9.9	0.4     4
46.218	34.511	15	0.39    3.9
45.843	34.279	8.1	0.29    2.9
46.185	34.598	11	0.36    3.6
45.648	34.882	16.1	0.28    2.8
45.747	34.4	17.5	0.36    3.6
46.185	34.597	10.3	0.37    3.7
46.177	34.602	10.9	0.3     3
45.413	34.429	17.9	0.49    4.9
45.877	34.626	4.2	0.32    3.2
46.134	34.603	9.1	0.29    2.9
45.58	34.855	18.9	0.36    3.6
45.935	34.679	15.3	0.27    2.7
45.81	34.757	11.9	0.33    3.3
46.046	34.576	6.9	0.26    2.6
46.276	34.643	7.9	0.33    3.3
45.756	34.713	7.7	0.27    2.7
45.55	34.521	15.3	0.26    2.6
46.123	34.636	7.1	0.36    3.6
46.29	34.571	0.9	0.27    2.7
45.853	34.629	5.1	0.27    2.7
45.949	34.516	9	0.27    2.7
45.635	34.865	15.7	0.3     3
46.261	34.587	8.5	0.27    2.7
45.837	34.417	11	0.28    2.8
45.69	34.324	29.2	0.36    3.6
45.906	34.397	14.7	0.42    4.2
45.822	34.519	19.1	0.28    2.8
45.719	34.721	18.4	0.33    3.3
46.176	34.608	10	0.31    3.1
45.712	34.678	10.2	0.29    2.9
45.743	34.645	14.2	0.25    2.5
45.755	34.702	8	0.34    3.4
45.796	35.001	8.1	0.34    3.4
45.76	34.719	8.2	0.32    3.2
45.703	34.43	15	0.38    3.8
45.714	34.424	17.2	0.39    3.9
45.956	34.639	18.8	0.28    2.8
46.074	34.383	9.1	0.34    3.4
45.765	34.71	7	0.26    2.6
46.153	34.686	8	0.29    2.9
45.83	34.406	13.6	0.29    2.9
45.707	34.597	12.8	0.26    2.6
45.806	34.855	8.6	0.26    2.6
45.592	34.737	11.1	0.24    2.4
46.199	34.6	11	0.37    3.7
45.738	34.816	9	0.39    3.9
46.212	34.594	10.7	0.32    3.2
46.139	34.662	12.1	0.34    3.4
46.152	34.612	9.1	0.28    2.8
45.836	34.924	11.7	0.32    3.2
46.21	34.609	11	0.36    3.6
46.193	34.597	10.7	0.3     3
45.783	34.692	6.1	0.24    2.4
45.688	34.82	8.4	0.33    3.3
45.553	34.821	17.5	0.37    3.7
45.767	34.614	8.3	0.26    2.6
45.774	34.75	6.5	0.33    3.3
46.246	34.644	8	0.3     3
45.732	34.729	14	0.24    2.4
45.759	34.621	15.3	0.36    3.6
46.34	34.69	8	0.29    2.9
45.901	34.978	15.2	0.32    3.2
46.332	34.665	10.1	0.32    3.2
45.76	35.033	8.3	0.33    3.3
45.75	35.043	8.5	0.34    3.4
46.284	34.662	5.2	0.33    3.3
45.895	34.62	8	0.23    2.3
45.816	34.53	11.6	0.3     3
45.775	34.874	25.9	0.48    4.8
45.74	34.727	25.4	0.26    2.6
45.748	34.479	14.2	0.28    2.8
46.232	34.597	8	0.26    2.6
45.737	34.815	7.5	0.25    2.5
46.253	34.599	10.7	0.28    2.8
45.735	34.751	9.4	0.24    2.4
45.659	34.431	21.3	0.29    2.9
45.771	34.722	8.4	0.27    2.7
45.627	34.573	19	0.34    3.4
45.55	34.68	11	0.28    2.8
45.705	34.477	16.6	0.23    2.3
45.755	34.719	6.8	0.25    2.5
45.709	34.754	9.7	0.27    2.7
45.741	34.688	8	0.31    3.1
46.297	34.63	6.2	0.3     3
45.799	34.641	14.8	0.25    2.5
45.737	34.814	8.7	0.26    2.6
45.664	34.339	13.2	0.3     3
45.669	34.611	11	0.22    2.2
46.349	34.694	8.7	0.28    2.8
45.735	34.717	6.6	0.3     3
45.933	34.538	8	0.32    3.2
45.749	34.707	8.5	0.28    2.8
45.652	34.818	10.8	0.27    2.7
45.817	34.988	15.3	0.3     3
45.915	34.53	8.1	0.26    2.6
45.861	35.101	8.5	0.36    3.6
45.863	35.098	7.9	0.35    3.5
46.098	34.705	10.1	0.33    3.3
45.754	34.522	14.1	0.24    2.4
45.695	34.676	10.9	0.3     3
45.841	34.924	12.4	0.31    3.1
45.693	34.917	8.3	0.27    2.7
45.99	34.613	8.5	0.25    2.5
46.004	34.918	8.8	0.35    3.5
45.857	34.973	13.8	0.27    2.7
45.673	34.742	9.9	0.3     3
45.938	34.394	15.8	0.36    3.6
45.883	34.35	8.2	0.34    3.4
45.734	34.676	13	0.3     3
45.625	34.639	15	0.27    2.7
45.697	34.833	7.9	0.33    3.3
45.708	34.489	16.6	0.3     3
