   #Date       Time       lat.     long.   depth  Mn   residue
2017-11-12 17:35:37.274 34.87804 45.84351 19.659 4.40 0.786
2017-11-12 18:18:17.261 34.86795 45.86604 17.760 7.30 0.556
2017-11-12 18:29:54.858 34.75936 45.65503 14.529 4.50 0.415
2017-11-12 18:34:55.607 34.65798 45.86752 12.643 4.10 0.241
2017-11-12 18:48:56.490 34.56048 45.82366 8.620 3.50 0.126
2017-11-12 18:52:14.132 34.51858 45.89849 2.001 3.70 0.161
2017-11-12 19:06:37.967 34.57624 45.89330 12.531 3.70 0.552
2017-11-12 19:10:30.945 34.32078 45.99185 2.001 3.50 0.346
2017-11-12 19:20:16.859 35.02964 45.99648 9.727 3.30 0.305
2017-11-12 19:25:43.857 34.97613 45.89041 6.218 3.70 0.208
2017-11-12 19:28:18.896 34.54080 46.26727 2.002 3.50 0.312
2017-11-12 19:42:19.781 34.53369 45.85386 2.000 3.40 0.705
2017-11-12 19:54:11.710 34.70784 45.71737 14.003 4.10 0.749
2017-11-12 20:01:50.190 34.58934 45.75734 4.393 3.60 0.298
2017-11-12 20:03:52.858 34.70933 46.31540 10.508 3.10 0.575
2017-11-12 20:28:06.186 34.63402 45.34492 29.997 3.40 0.890
2017-11-12 20:32:18.771 34.61274 45.85387 11.991 3.60 0.252
2017-11-12 20:42:46.434 34.48730 45.87282 15.999 4.00 0.872
2017-11-12 20:44:06.134 34.51701 45.47063 20.080 3.90 0.407
2017-11-12 21:01:34.977 34.02151 46.13263 19.242 3.30 0.532
2017-11-12 21:05:48.876 35.07736 45.90718 7.522 3.40 0.282
2017-11-12 21:16:20.200 34.59194 45.83526 10.407 4.10 0.862
2017-11-12 21:33:23.246 34.59370 45.81655 7.008 4.50 0.608
2017-11-12 21:40:57.619 34.69352 45.66913 2.002 3.10 0.532
2017-11-12 21:42:38.205 34.60743 45.82050 3.253 3.20 0.127
2017-11-12 22:09:12.659 34.95694 45.92190 2.001 3.40 0.546
2017-11-12 22:11:35.605 35.05517 45.82304 8.780 4.00 0.372
2017-11-12 22:12:20.756 34.95020 45.80242 3.401 4.10 0.509
2017-11-12 22:13:58.943 34.82110 45.84969 12.189 3.40 0.449
2017-11-12 22:25:35.783 34.89587 45.89804 8.001 3.20 0.171
2017-11-12 22:31:01.763 34.62077 45.65745 7.432 4.50 0.571
2017-11-12 22:38:38.593 34.53151 45.87008 7.157 3.20 0.350
2017-11-12 22:40:05.654 34.88156 45.77064 9.559 3.30 0.383
2017-11-12 22:53:59.105 34.70393 45.79360 6.002 3.30 0.340
2017-11-12 23:37:22.470 34.61456 46.10186 7.323 4.10 0.542
2017-11-13 00:09:49.961 34.61455 45.62973 2.005 3.70 0.495
2017-11-13 00:20:52.997 34.59365 45.74936 15.585 4.60 0.000
2017-11-13 00:38:11.616 35.02573 45.77230 6.913 3.50 0.456
2017-11-13 01:10:30.124 34.84181 45.65528 15.999 3.40 0.439
2017-11-13 01:16:45.707 34.98427 45.91154 7.270 3.20 0.535
2017-11-13 01:28:37.131 34.53991 45.69337 17.032 3.20 0.225
2017-11-13 01:29:59.751 34.37220 45.75251 14.617 3.40 0.439
2017-11-13 01:51:22.464 35.09504 45.98451 6.118 3.10 0.145
2017-11-13 02:19:33.806 34.60018 45.63478 11.834 3.40 0.600
2017-11-13 02:44:11.956 34.41534 45.77437 11.456 3.30 0.454
2017-11-13 03:14:38.007 34.96059 45.83310 9.289 4.00 0.304
2017-11-13 03:52:10.608 34.68539 45.86718 8.133 3.30 0.548
2017-11-13 04:27:57.295 34.45385 45.80337 16.003 4.80 0.417
2017-11-13 04:36:13.828 34.41606 45.80639 7.123 4.30 0.233
2017-11-13 04:41:44.757 35.01535 45.91761 15.596 3.80 0.558
2017-11-13 04:54:57.599 34.60481 45.79906 10.753 3.60 0.383
